# Hammett Parameters Compiled by Hansch, Leo and Taft
# "A Survey of Hammett Substituent Constants and Resonance and Field Parameters"
# Chem. Rev., 1991, 91, 165-195. 
# https://doi.org/10.1021/cr00002a004
#
# "Substituent" is the position and structure of the substituent
# "TABLE I" refers to the entry number in table 1.
# "TABLE V" refers to the entry number in table 5
# "Charton" refers to Charton, M. (2007). Electrical Effect Substituent Constants for Correlation Analysis. Progress in Physical Organic Chemistry, 119–251. doi:10.1002/9780470171929.ch3 
#
# Errors are possible. Refer to original document for confirmation
#
# NOTE: csv files are not compatible with comments or spaces.
# Use pandas.read_csv("file.csv", comment = "#", skipinitialspace=True) 
# to import file
#
Substituent,  sigma, s_plus, s_minus, sigma_I, sigma_n,       F,      R,    R+,    R-,   TABLE V, TABLE I
m-Br,         0.39,  ,       ,              ,           ,       ,      0,      0,       0,   ,        2
p-Br,         0.23,  0.15,   0.25,      0.47,      0.265,   0.45,  -0.22,  -0.30,   -0.20,   2,       2
m-C6H5,       0.06,  ,       ,              ,           ,       ,      0,      0,       0,   ,        417
p-C6H5,      -0.01,  0.02,  -0.18,      0.12,           ,   0.12,  -0.13,  -0.30,   -0.10,   183 & Charton,     417
m-CCCH3,      0.21,  ,       ,              ,           ,       ,      0,      0,       0,   ,        267
m-CCH,        0.21,  ,       ,              ,           ,       ,      0,      0,       0,   ,        175
p-CCH,        0.23,  0.18,   0.53,      0.29,           ,   0.22,   0.01,  -0.04,    0.31,   78,      175
p-CCCH3,      0.03,  ,       ,          0.30,           ,       ,      ,        ,        ,   Charton,     267
m-CF3,        0.43,  ,       ,              ,           ,       ,      0,      0,       0,   ,        70
p-CF3,        0.54,  0.61,   0.65,      0.40,           ,   0.38,   0.16,   0.23,    0.27,   36 & Charton,      70
m-CH3,       -0.07,  ,       ,              ,           ,       ,      0,      0,       0,   ,        133
p-CH3,       -0.17, -0.31,  -0.17,     -0.01,     -0.129,   0.01,  -0.18,  -0.32,   -0.18,   62,      133
m-CHCH2,      0.06,  ,       ,              ,           ,       ,      0,      0,       0,   ,        193
p-CHCH2,     -0.04, -0.16,  -0.04,      0.11,           ,   0.13,  -0.17,  -0.29,   -0.17,   86,      193
m-CHO,        0.35,  ,       ,              ,           ,       ,      0,      0,       0,   ,        117
p-CHO,        0.42,  0.73,   1.03,          ,           ,   0.33,   0.09,   0.40,    0.70,   55,      117
