# Hammett Parameters Compiled by Andrew Williams
# “Free Energy Relationships in Organic and Bio-organic Chemistry” 
# by Andrew Williams,         
# The Royal Society of Chemistry, Cambridge, 2003, pp 258-277.
# https://doi.org/10.1039/9781847550927
#
# "Substituent" is the position and structure of the substituent
# "Page" refers to the page of the book where the entry is found.
#
# Errors are possible. Refer to original document for confirmation
#
# NOTE: csv files are not compatible with comments or spaces.
# Use pandas.read_csv("file.csv", comment = "#", skipinitialspace=True) 
# to import file
#
# o-substituents from page 46 of williams and from Charton, M. (1971). The Quantitative Treatment of the Ortho Effect. In Progress in Physical Organic Chemistry (eds A. Streitwieser and R.W. Taft). https://doi.org/10.1002/9780470171875.ch3
#
Substituent,    sigma,     s_plus,    s_minus,   Page
m-Br,           0.39,      ,          ,          259
p-Br,           0.23,      0.15,      0.25,      259
m-C6H5,         0.06,      ,          ,          278
p-C6H5,        -0.01,      0.02,     -0.18,      278
m-CCCH3,        0.1,       ,          ,          265
m-CCH,          0.2,       ,          ,          263
p-CCH,          0.23,      0.18,      0.53,      263
p-CCCH3,        0.2,       ,          ,          265
m-CF3,          0.46,      ,          ,          261
p-CF3,          0.53,      ,          0.65,      261
m-CH3,         -0.06,      ,          ,          261
p-CH3,         -0.14,     -0.31,     -0.17,      261
m-CHCH2,        0.08,      ,          ,          263
p-CHCH2,       -0.08,     -0.16,      ,          263
m-CHO,          0.36,      ,          ,          262
p-CHO,          0.44,      ,          1.03,      262
m-Cl,           0.37,      ,          ,          259
p-Cl,           0.23,      0.11,      0.19,      259
m-CMe3,        -0.1,       ,          ,          267
p-CMe3,        -0.2,      -0.26,     -0.13,      267
m-CN,           0.56,      ,          ,          261
p-CN,           0.66,      ,          0.88,      261
m-CO2CH3,       0.32,      ,          ,          264
p-CO2CH3,       0.39,      ,          0.75,      264
m-CO2Et,        0.37,      ,          ,          266
p-CO2Et,        0.45,      ,          0.64,      266
m-COCH3,        0.38,      ,          ,          264
p-COCH3,        0.5,       ,          0.84,      264
m-Et,          -0.07,      ,          ,          263
p-Et,          -0.15,     -0.3,      -0.19,      "Table V Entry 93 Hansch"
m-F,            0.34,      ,          ,          259
p-F,            0.06,     -0.07,     -0.03,      259
H,              0,         0,         0,        
m-I,            0.35,      ,          ,          259
p-I,            0.18,      0.14,      0.27,      259
"m,m-diCF3",    0.92,      ,          ,        
m-N3,           0.27,      ,          ,          259
p-N3,           0.15,      ,          0.11,      259
m-NH2,         -0.16,      ,          ,          259
p-NH2,         -0.66,     -1.3,      -0.15,      259
m-NH3+,         0.67,      ,          ,          260
p-NH3+,         0.53,      ,         -0.56,      260
m-NO,           ,          ,          ,          260
p-NO,           ,          ,          1.63,      260
m-NO2,          0.72,      ,          ,          260
p-NO2,          0.78,      ,          1.24,      260
m-OC6H5,        0.25,      ,          ,          269
p-OC6H5,       -0.32,     -0.5,      -0.1,       269
m-OCH3,         0.11,      ,          ,          262
p-OCH3,        -0.27,     -0.78,     -0.26,      262
m-OEt,          0.1,       ,          ,          264
p-OEt,         -0.24,     -0.81,     -0.28,      264
m-OH,           0.12,      ,          ,          259
p-OH,          -0.37,     -0.92,     -0.37,      259
m-SO2CH3,       0.64,      ,          ,          263
p-SO2CH3,       0.73,      ,          1.13,      263
m-N(CH3)2,     -0.15,     ,         ,            264
p-N(CH3)2,     -0.83,     -1.70,     -0.12,      264
m-N(CH3)3+,     0.88,      ,          ,          266
p-N(CH3)3+,     0.82,      0.41,     0.77,       266
p-N2C6H5,       0.31,     -0.19,     0.45,       269
m-N2C6H5,       0.29,      ,          ,          269
o-CN,           1.06,      ,          ,           46
o-OEt,         -0.01,      ,          ,           46
o-CH3,          0.29,      ,          ,           46
o-OCH3,         0.12,      ,          ,          280
o-Cl,           1.26,      ,          ,           46
o-NO2,          2.03,      ,          ,           46
o-Br,           1.35,      ,          ,           46
o-I,            1.34,      ,          ,           46
o-F,            0.93,      ,          ,          # Charton ref
p-C(CH3)3,     -0.20,    -0.26,     -0.13,       267
m-C(CH3)3,     -0.10,        ,         ,         267
"3,5-CH3",     -0.12,      ,          ,          sum of values
"3,4,5-CH3",   -0.26,    -0.43,     -0.29,       sum of values
"3,4-CH3",     -0.20,    -0.37,     -0.23,       sum of values

