time,Reactant,Product A,Product B
0.00E+00,2.50E-01,,
1.95E-02,2.31E-01,5.63E-03,1.31E-02
4.16E-02,2.13E-01,1.09E-02,2.67E-02
6.46E-02,1.94E-01,1.63E-02,4.00E-02
9.19E-02,1.75E-01,2.17E-02,5.33E-02
1.19E-01,1.56E-01,2.71E-02,6.66E-02
1.51E-01,1.38E-01,3.26E-02,7.99E-02
1.87E-01,1.19E-01,3.85E-02,9.28E-02
2.29E-01,1.00E-01,4.43E-02,1.06E-01
2.80E-01,8.13E-02,5.04E-02,1.18E-01
3.48E-01,6.25E-02,5.61E-02,1.31E-01
4.35E-01,4.38E-02,6.19E-02,1.44E-01
5.74E-01,2.50E-02,6.80E-02,1.57E-01
9.21E-01,6.25E-03,7.30E-02,1.71E-01
2.92E+00,,7.48E-02,1.75E-01
